Area,Element,Item,Year,Value
Canada,Emissions (CO2eq) from CH4,Enteric Fermentation,1962,17294.487
Canada,Emissions (CH4),Enteric Fermentation,1962,823.547
Canada,Emissions (CO2eq) from CH4,Agriculture total,1962,21985.0959
Canada,Emissions (CH4),Agriculture total,1962,1046.9093
United States of America,Emissions (CO2eq) from CH4,Burning - Crop residues,1962,1709.0972
United States of America,Emissions (CH4),Burning - Crop residues,1962,81.3856
United States of America,Emissions (CO2eq) from CH4,Rice Cultivation,1962,5269.95
United States of America,Emissions (CH4),Rice Cultivation,1962,250.95
United States of America,Emissions (CO2eq) from CH4,Manure Management,1962,34318.5825
United States of America,Emissions (CH4),Manure Management,1962,1634.2182
United States of America,Emissions (CO2eq) from CH4,Enteric Fermentation,1962,146582.94
United States of America,Emissions (CH4),Enteric Fermentation,1962,6980.14
United States of America,Emissions (CO2eq) from CH4,Agriculture total,1962,187880.5697
United States of America,Emissions (CH4),Agriculture total,1962,8946.6938
United States of America,Emissions (CH4),Agriculture total,1963,9093.2366
United States of America,Emissions (CO2eq) from CH4,Agriculture total,1963,190957.9691
United States of America,Emissions (CH4),Enteric Fermentation,1963,7136.368
United States of America,Emissions (CO2eq) from CH4,Enteric Fermentation,1963,149863.728
United States of America,Emissions (CH4),Manure Management,1963,1619.8426
United States of America,Emissions (CO2eq) from CH4,Manure Management,1963,34016.6938
United States of America,Emissions (CH4),Rice Cultivation,1963,250.95
United States of America,Emissions (CO2eq) from CH4,Rice Cultivation,1963,5269.95
United States of America,Emissions (CH4),Burning - Crop residues,1963,86.0761
United States of America,Emissions (CO2eq) from CH4,Burning - Crop residues,1963,1807.5973
Canada,Emissions (CH4),Agriculture total,1963,1055.184
Canada,Emissions (CO2eq) from CH4,Agriculture total,1963,22158.863
Canada,Emissions (CH4),Enteric Fermentation,1963,834.5022
Canada,Emissions (CO2eq) from CH4,Enteric Fermentation,1963,17524.5462
Canada,Emissions (CH4),Manure Management,1963,208.0296
Canada,Emissions (CO2eq) from CH4,Manure Management,1963,4368.6213
Canada,Emissions (CH4),Burning - Crop residues,1963,12.6522
Canada,Emissions (CO2eq) from CH4,Burning - Crop residues,1963,265.6954
World,Emissions (CH4),Agriculture total,1963,93188.693
World,Emissions (CO2eq) from CH4,Agriculture total,1963,1956962.553
World,Emissions (CH4),Enteric Fermentation,1963,67018.8014
World,Emissions (CO2eq) from CH4,Enteric Fermentation,1963,1407394.829
World,Emissions (CH4),Manure Management,1963,7390.5096
World,Emissions (CO2eq) from CH4,Manure Management,1963,155200.7011
World,Emissions (CH4),Rice Cultivation,1963,18069.7191
World,Emissions (CO2eq) from CH4,Rice Cultivation,1963,379464.1001
World,Emissions (CH4),Burning - Crop residues,1963,709.663
World,Emissions (CO2eq) from CH4,Burning - Crop residues,1963,14902.9227
World,Emissions (CO2eq) from CH4,Burning - Crop residues,1964,15274.2127
World,Emissions (CH4),Burning - Crop residues,1964,727.3435
World,Emissions (CO2eq) from CH4,Rice Cultivation,1964,395004.9947
World,Emissions (CH4),Rice Cultivation,1964,18809.7617
World,Emissions (CO2eq) from CH4,Manure Management,1964,154884.0253
World,Emissions (CH4),Manure Management,1964,7375.4298
World,Emissions (CO2eq) from CH4,Enteric Fermentation,1964,1426615.708
World,Emissions (CH4),Enteric Fermentation,1964,67934.0813
World,Emissions (CO2eq) from CH4,Agriculture total,1964,1991778.94
World,Emissions (CH4),Agriculture total,1964,94846.6162
Canada,Emissions (CO2eq) from CH4,Burning - Crop residues,1964,287.5974
Canada,Emissions (CH4),Burning - Crop residues,1964,13.6951
Canada,Emissions (CO2eq) from CH4,Manure Management,1964,4464.3035
Canada,Emissions (CH4),Manure Management,1964,212.5859
Canada,Emissions (CO2eq) from CH4,Enteric Fermentation,1964,18015.1944
Canada,Emissions (CH4),Enteric Fermentation,1964,857.8664
Canada,Emissions (CO2eq) from CH4,Agriculture total,1964,22767.0953
Canada,Emissions (CH4),Agriculture total,1964,1084.1474
United States of America,Emissions (CO2eq) from CH4,Burning - Crop residues,1964,1759.9495
United States of America,Emissions (CH4),Burning - Crop residues,1964,83.8071
United States of America,Emissions (CO2eq) from CH4,Rice Cultivation,1964,5314.05
United States of America,Emissions (CH4),Rice Cultivation,1964,253.05
United States of America,Emissions (CO2eq) from CH4,Manure Management,1964,33367.3377
United States of America,Emissions (CH4),Manure Management,1964,1588.9208
United States of America,Emissions (CO2eq) from CH4,Enteric Fermentation,1964,152283.3569
United States of America,Emissions (CH4),Enteric Fermentation,1964,7251.5884
United States of America,Emissions (CO2eq) from CH4,Agriculture total,1964,192724.6941
United States of America,Emissions (CH4),Agriculture total,1964,9177.3664
United States of America,Emissions (CH4),Agriculture total,1965,9084.8934
United States of America,Emissions (CO2eq) from CH4,Agriculture total,1965,190782.7608
United States of America,Emissions (CH4),Enteric Fermentation,1965,7253.3471
United States of America,Emissions (CO2eq) from CH4,Enteric Fermentation,1965,152320.2883
United States of America,Emissions (CH4),Manure Management,1965,1493.9325
United States of America,Emissions (CO2eq) from CH4,Manure Management,1965,31372.5829
United States of America,Emissions (CH4),Rice Cultivation,1965,253.9145
United States of America,Emissions (CO2eq) from CH4,Rice Cultivation,1965,5332.2045
United States of America,Emissions (CH4),Burning - Crop residues,1965,83.6993
United States of America,Emissions (CO2eq) from CH4,Burning - Crop residues,1965,1757.6851
Canada,Emissions (CH4),Agriculture total,1965,1106.99
Canada,Emissions (CO2eq) from CH4,Agriculture total,1965,23246.7898
Canada,Emissions (CH4),Enteric Fermentation,1965,879.5902
Canada,Emissions (CO2eq) from CH4,Enteric Fermentation,1965,18471.3942
Canada,Emissions (CH4),Manure Management,1965,214.2154
Canada,Emissions (CO2eq) from CH4,Manure Management,1965,4498.5243
Canada,Emissions (CH4),Burning - Crop residues,1965,13.1843
Canada,Emissions (CO2eq) from CH4,Burning - Crop residues,1965,276.8713
World,Emissions (CH4),Agriculture total,1965,96170.8303
World,Emissions (CO2eq) from CH4,Agriculture total,1965,2019587.437
World,Emissions (CH4),Enteric Fermentation,1965,69201.5444
World,Emissions (CO2eq) from CH4,Enteric Fermentation,1965,1453232.432
World,Emissions (CH4),Manure Management,1965,7460.9229
World,Emissions (CO2eq) from CH4,Manure Management,1965,156679.3816
World,Emissions (CH4),Rice Cultivation,1965,18782.7874
World,Emissions (CO2eq) from CH4,Rice Cultivation,1965,394438.5363
World,Emissions (CH4),Burning - Crop residues,1965,725.5756
World,Emissions (CO2eq) from CH4,Burning - Crop residues,1965,15237.0871
World,Emissions (CO2eq) from CH4,Burning - Crop residues,1966,15502.6914
World,Emissions (CH4),Burning - Crop residues,1966,738.2234
World,Emissions (CO2eq) from CH4,Rice Cultivation,1966,400351.9645
World,Emissions (CH4),Rice Cultivation,1966,19064.3793
World,Emissions (CO2eq) from CH4,Manure Management,1966,157506.4642
World,Emissions (CH4),Manure Management,1966,7500.3078
World,Emissions (CO2eq) from CH4,Enteric Fermentation,1966,1484940.747
World,Emissions (CH4),Enteric Fermentation,1966,70711.4642
World,Emissions (CO2eq) from CH4,Agriculture total,1966,2058301.867
World,Emissions (CH4),Agriculture total,1966,98014.3746
Canada,Emissions (CO2eq) from CH4,Burning - Crop residues,1966,291.0297
Canada,Emissions (CH4),Burning - Crop residues,1966,13.8586
Canada,Emissions (CO2eq) from CH4,Manure Management,1966,4172.1776
Canada,Emissions (CH4),Manure Management,1966,198.6751
Canada,Emissions (CO2eq) from CH4,Enteric Fermentation,1966,17857.5096
Canada,Emissions (CH4),Enteric Fermentation,1966,850.3576
Canada,Emissions (CO2eq) from CH4,Agriculture total,1966,22320.717
Canada,Emissions (CH4),Agriculture total,1966,1062.8913
United States of America,Emissions (CO2eq) from CH4,Burning - Crop residues,1966,1797.4368
United States of America,Emissions (CH4),Burning - Crop residues,1966,85.5922
United States of America,Emissions (CO2eq) from CH4,Rice Cultivation,1966,5851.2321
United States of America,Emissions (CH4),Rice Cultivation,1966,278.6301
United States of America,Emissions (CO2eq) from CH4,Manure Management,1966,29257.0983
United States of America,Emissions (CH4),Manure Management,1966,1393.1952
United States of America,Emissions (CO2eq) from CH4,Enteric Fermentation,1966,150605.3958
United States of America,Emissions (CH4),Enteric Fermentation,1966,7171.6855
United States of America,Emissions (CO2eq) from CH4,Agriculture total,1966,187511.163
United States of America,Emissions (CH4),Agriculture total,1966,8929.103
United States of America,Emissions (CH4),Agriculture total,1967,8934.7227
United States of America,Emissions (CO2eq) from CH4,Agriculture total,1967,187629.1772
United States of America,Emissions (CH4),Enteric Fermentation,1967,7125.091
United States of America,Emissions (CO2eq) from CH4,Enteric Fermentation,1967,149626.911
United States of America,Emissions (CH4),Manure Management,1967,1437.1412
United States of America,Emissions (CO2eq) from CH4,Manure Management,1967,30179.9648
United States of America,Emissions (CH4),Rice Cultivation,1967,279.041
United States of America,Emissions (CO2eq) from CH4,Rice Cultivation,1967,5859.861
United States of America,Emissions (CH4),Burning - Crop residues,1967,93.4495
United States of America,Emissions (CO2eq) from CH4,Burning - Crop residues,1967,1962.4404
Canada,Emissions (CH4),Agriculture total,1967,1061.4241
Canada,Emissions (CO2eq) from CH4,Agriculture total,1967,22289.9063
Canada,Emissions (CH4),Enteric Fermentation,1967,840.8983
Canada,Emissions (CO2eq) from CH4,Enteric Fermentation,1967,17658.8643
Canada,Emissions (CH4),Manure Management,1967,206.4041
Canada,Emissions (CO2eq) from CH4,Manure Management,1967,4334.4866
Canada,Emissions (CH4),Burning - Crop residues,1967,14.1217
Canada,Emissions (CO2eq) from CH4,Burning - Crop residues,1967,296.5554
World,Emissions (CH4),Agriculture total,1967,99818.7778
World,Emissions (CO2eq) from CH4,Agriculture total,1967,2096194.334
World,Emissions (CH4),Enteric Fermentation,1967,72114.4443
World,Emissions (CO2eq) from CH4,Enteric Fermentation,1967,1514403.329
World,Emissions (CH4),Manure Management,1967,7713.3139
World,Emissions (CO2eq) from CH4,Manure Management,1967,161979.592
World,Emissions (CH4),Rice Cultivation,1967,19243.2004
World,Emissions (CO2eq) from CH4,Rice Cultivation,1967,404107.2079
World,Emissions (CH4),Burning - Crop residues,1967,747.8192
World,Emissions (CO2eq) from CH4,Burning - Crop residues,1967,15704.2042
World,Emissions (CO2eq) from CH4,Burning - Crop residues,1968,15816.7249
World,Emissions (CH4),Burning - Crop residues,1968,753.1774
World,Emissions (CO2eq) from CH4,Rice Cultivation,1968,410800.6903
World,Emissions (CH4),Rice Cultivation,1968,19561.9376
World,Emissions (CO2eq) from CH4,Manure Management,1968,163319.6162
World,Emissions (CH4),Manure Management,1968,7777.1246
World,Emissions (CO2eq) from CH4,Enteric Fermentation,1968,1536975.462
World,Emissions (CH4),Enteric Fermentation,1968,73189.3077
World,Emissions (CO2eq) from CH4,Agriculture total,1968,2126912.493
World,Emissions (CH4),Agriculture total,1968,101281.5473
Canada,Emissions (CO2eq) from CH4,Burning - Crop residues,1968,292.1976
Canada,Emissions (CH4),Burning - Crop residues,1968,13.9142
Canada,Emissions (CO2eq) from CH4,Manure Management,1968,4354.0201
Canada,Emissions (CH4),Manure Management,1968,207.3343
Canada,Emissions (CO2eq) from CH4,Enteric Fermentation,1968,17523.7125
Canada,Emissions (CH4),Enteric Fermentation,1968,834.4625
Canada,Emissions (CO2eq) from CH4,Agriculture total,1968,22169.9302
Canada,Emissions (CH4),Agriculture total,1968,1055.711
United States of America,Emissions (CO2eq) from CH4,Burning - Crop residues,1968,1825.8569
United States of America,Emissions (CH4),Burning - Crop residues,1968,86.9456
United States of America,Emissions (CO2eq) from CH4,Rice Cultivation,1968,6999.9489
United States of America,Emissions (CH4),Rice Cultivation,1968,333.3309
United States of America,Emissions (CO2eq) from CH4,Manure Management,1968,29964.0946
United States of America,Emissions (CH4),Manure Management,1968,1426.8616
United States of America,Emissions (CO2eq) from CH4,Enteric Fermentation,1968,149223.9942
United States of America,Emissions (CH4),Enteric Fermentation,1968,7105.9045
United States of America,Emissions (CO2eq) from CH4,Agriculture total,1968,188013.8946
United States of America,Emissions (CH4),Agriculture total,1968,8953.0426
United States of America,Emissions (CH4),Agriculture total,1969,8908.5042
United States of America,Emissions (CO2eq) from CH4,Agriculture total,1969,187078.5887
United States of America,Emissions (CH4),Enteric Fermentation,1969,7100.0029
United States of America,Emissions (CO2eq) from CH4,Enteric Fermentation,1969,149100.0617
United States of America,Emissions (CH4),Manure Management,1969,1425.1446
United States of America,Emissions (CO2eq) from CH4,Manure Management,1969,29928.0366
United States of America,Emissions (CH4),Rice Cultivation,1969,301.4624
United States of America,Emissions (CO2eq) from CH4,Rice Cultivation,1969,6330.7094
United States of America,Emissions (CH4),Burning - Crop residues,1969,81.8943
United States of America,Emissions (CO2eq) from CH4,Burning - Crop residues,1969,1719.7811
Canada,Emissions (CH4),Agriculture total,1969,1030.4426
Canada,Emissions (CO2eq) from CH4,Agriculture total,1969,21639.2954
Canada,Emissions (CH4),Enteric Fermentation,1969,816.5246
Canada,Emissions (CO2eq) from CH4,Enteric Fermentation,1969,17147.0166
Canada,Emissions (CH4),Manure Management,1969,201.9299
Canada,Emissions (CO2eq) from CH4,Manure Management,1969,4240.5269
Canada,Emissions (CH4),Burning - Crop residues,1969,11.9882
Canada,Emissions (CO2eq) from CH4,Burning - Crop residues,1969,251.7519
World,Emissions (CH4),Agriculture total,1969,101806.8491
World,Emissions (CO2eq) from CH4,Agriculture total,1969,2137943.831
World,Emissions (CH4),Enteric Fermentation,1969,73528.6849
World,Emissions (CO2eq) from CH4,Enteric Fermentation,1969,1544102.382
World,Emissions (CH4),Manure Management,1969,7764.8728
World,Emissions (CO2eq) from CH4,Manure Management,1969,163062.3295
World,Emissions (CH4),Rice Cultivation,1969,19765.1368
World,Emissions (CO2eq) from CH4,Rice Cultivation,1969,415067.8733
World,Emissions (CH4),Burning - Crop residues,1969,748.1545
World,Emissions (CO2eq) from CH4,Burning - Crop residues,1969,15711.2453
World,Emissions (CO2eq) from CH4,Burning - Crop residues,1970,15681.6162
World,Emissions (CH4),Burning - Crop residues,1970,746.7436
World,Emissions (CO2eq) from CH4,Rice Cultivation,1970,420563.9613
World,Emissions (CH4),Rice Cultivation,1970,20026.8553
World,Emissions (CO2eq) from CH4,Manure Management,1970,164105.4406
World,Emissions (CH4),Manure Management,1970,7814.5448
World,Emissions (CO2eq) from CH4,Enteric Fermentation,1970,1552681.397
World,Emissions (CH4),Enteric Fermentation,1970,73937.2094
World,Emissions (CO2eq) from CH4,Agriculture total,1970,2153032.415
World,Emissions (CH4),Agriculture total,1970,102525.3531
Canada,Emissions (CO2eq) from CH4,Burning - Crop residues,1970,142.8844
Canada,Emissions (CH4),Burning - Crop residues,1970,6.804
Canada,Emissions (CO2eq) from CH4,Manure Management,1970,4397.2296
Canada,Emissions (CH4),Manure Management,1970,209.3919
Canada,Emissions (CO2eq) from CH4,Enteric Fermentation,1970,17399.1552
Canada,Emissions (CH4),Enteric Fermentation,1970,828.5312
Canada,Emissions (CO2eq) from CH4,Agriculture total,1970,21939.2692
Canada,Emissions (CH4),Agriculture total,1970,1044.7271
United States of America,Emissions (CO2eq) from CH4,Burning - Crop residues,1970,1747.5463
United States of America,Emissions (CH4),Burning - Crop residues,1970,83.2165
United States of America,Emissions (CO2eq) from CH4,Rice Cultivation,1970,5397.6416
United States of America,Emissions (CH4),Rice Cultivation,1970,257.0306
United States of America,Emissions (CO2eq) from CH4,Manure Management,1970,28851.8623
United States of America,Emissions (CH4),Manure Management,1970,1373.8982
United States of America,Emissions (CO2eq) from CH4,Enteric Fermentation,1970,151039.1082
United States of America,Emissions (CH4),Enteric Fermentation,1970,7192.3385
United States of America,Emissions (CO2eq) from CH4,Agriculture total,1970,187036.1584
United States of America,Emissions (CH4),Agriculture total,1970,8906.4837
United States of America,Emissions (CH4),Agriculture total,1971,9143.3818
United States of America,Emissions (CO2eq) from CH4,Agriculture total,1971,192011.0175
United States of America,Emissions (CH4),Enteric Fermentation,1971,7312.4556
United States of America,Emissions (CO2eq) from CH4,Enteric Fermentation,1971,153561.5671
United States of America,Emissions (CH4),Manure Management,1971,1480.9856
United States of America,Emissions (CO2eq) from CH4,Manure Management,1971,31100.6979
United States of America,Emissions (CH4),Rice Cultivation,1971,257.4838
United States of America,Emissions (CO2eq) from CH4,Rice Cultivation,1971,5407.1598
United States of America,Emissions (CH4),Burning - Crop residues,1971,92.4568
United States of America,Emissions (CO2eq) from CH4,Burning - Crop residues,1971,1941.5927
Canada,Emissions (CH4),Agriculture total,1971,1045.4302
Canada,Emissions (CO2eq) from CH4,Agriculture total,1971,21954.0352
Canada,Emissions (CH4),Enteric Fermentation,1971,827.1089
Canada,Emissions (CO2eq) from CH4,Enteric Fermentation,1971,17369.287
Canada,Emissions (CH4),Manure Management,1971,208.2988
Canada,Emissions (CO2eq) from CH4,Manure Management,1971,4374.2755
Canada,Emissions (CH4),Burning - Crop residues,1971,10.0225
Canada,Emissions (CO2eq) from CH4,Burning - Crop residues,1971,210.4727
World,Emissions (CH4),Agriculture total,1971,104258.9437
World,Emissions (CO2eq) from CH4,Agriculture total,1971,2189437.818
World,Emissions (CH4),Enteric Fermentation,1971,74961.5496
World,Emissions (CO2eq) from CH4,Enteric Fermentation,1971,1574192.542
World,Emissions (CH4),Manure Management,1971,8140.923
World,Emissions (CO2eq) from CH4,Manure Management,1971,170959.3839
World,Emissions (CH4),Rice Cultivation,1971,20387.1506
World,Emissions (CO2eq) from CH4,Rice Cultivation,1971,428130.1618
World,Emissions (CH4),Burning - Crop residues,1971,769.3205
World,Emissions (CO2eq) from CH4,Burning - Crop residues,1971,16155.73
World,Emissions (CO2eq) from CH4,Burning - Crop residues,1972,15888.9146
World,Emissions (CH4),Burning - Crop residues,1972,756.615
World,Emissions (CO2eq) from CH4,Rice Cultivation,1972,420982.0391
World,Emissions (CH4),Rice Cultivation,1972,20046.7638
World,Emissions (CO2eq) from CH4,Manure Management,1972,173463.236
World,Emissions (CH4),Manure Management,1972,8260.1541
World,Emissions (CO2eq) from CH4,Enteric Fermentation,1972,1600482.059
World,Emissions (CH4),Enteric Fermentation,1972,76213.4314
World,Emissions (CO2eq) from CH4,Agriculture total,1972,2210816.249
World,Emissions (CH4),Agriculture total,1972,105276.9642
Canada,Emissions (CO2eq) from CH4,Burning - Crop residues,1972,226.3991
Canada,Emissions (CH4),Burning - Crop residues,1972,10.7809
Canada,Emissions (CO2eq) from CH4,Manure Management,1972,4264.6422
Canada,Emissions (CH4),Manure Management,1972,203.0782
Canada,Emissions (CO2eq) from CH4,Enteric Fermentation,1972,17673.7428
Canada,Emissions (CH4),Enteric Fermentation,1972,841.6068
Canada,Emissions (CO2eq) from CH4,Agriculture total,1972,22164.7841
Canada,Emissions (CH4),Agriculture total,1972,1055.4659
United States of America,Emissions (CO2eq) from CH4,Burning - Crop residues,1972,1787.2191
United States of America,Emissions (CH4),Burning - Crop residues,1972,85.1057
United States of America,Emissions (CO2eq) from CH4,Rice Cultivation,1972,5407.1598
United States of America,Emissions (CH4),Rice Cultivation,1972,257.4838
United States of America,Emissions (CO2eq) from CH4,Manure Management,1972,29913.0214
United States of America,Emissions (CH4),Manure Management,1972,1424.4296
United States of America,Emissions (CO2eq) from CH4,Enteric Fermentation,1972,156626.6953
United States of America,Emissions (CH4),Enteric Fermentation,1972,7458.4141
United States of America,Emissions (CO2eq) from CH4,Agriculture total,1972,193734.0956
United States of America,Emissions (CH4),Agriculture total,1972,9225.4331
United States of America,Emissions (CH4),Agriculture total,1973,9395.8432
United States of America,Emissions (CO2eq) from CH4,Agriculture total,1973,197312.7075
United States of America,Emissions (CH4),Enteric Fermentation,1973,7619.411
United States of America,Emissions (CO2eq) from CH4,Enteric Fermentation,1973,160007.631
United States of America,Emissions (CH4),Manure Management,1973,1375.6535
United States of America,Emissions (CO2eq) from CH4,Manure Management,1973,28888.7237
United States of America,Emissions (CH4),Rice Cultivation,1973,307.3829
United States of America,Emissions (CO2eq) from CH4,Rice Cultivation,1973,6455.0419
United States of America,Emissions (CH4),Burning - Crop residues,1973,93.3958
United States of America,Emissions (CO2eq) from CH4,Burning - Crop residues,1973,1961.3108
Canada,Emissions (CH4),Agriculture total,1973,1070.1528
Canada,Emissions (CO2eq) from CH4,Agriculture total,1973,22473.2087
Canada,Emissions (CH4),Enteric Fermentation,1973,861.488
Canada,Emissions (CO2eq) from CH4,Enteric Fermentation,1973,18091.248
Canada,Emissions (CH4),Manure Management,1973,196.8924
Canada,Emissions (CO2eq) from CH4,Manure Management,1973,4134.741
Canada,Emissions (CH4),Burning - Crop residues,1973,11.7724
Canada,Emissions (CO2eq) from CH4,Burning - Crop residues,1973,247.2197
World,Emissions (CH4),Agriculture total,1973,107016.6957
World,Emissions (CO2eq) from CH4,Agriculture total,1973,2247350.61
World,Emissions (CH4),Enteric Fermentation,1973,77183.8657
World,Emissions (CO2eq) from CH4,Enteric Fermentation,1973,1620861.18
World,Emissions (CH4),Manure Management,1973,8335.1433
World,Emissions (CO2eq) from CH4,Manure Management,1973,175038.01
World,Emissions (CH4),Rice Cultivation,1973,20722.6368
World,Emissions (CO2eq) from CH4,Rice Cultivation,1973,435175.3735
World,Emissions (CH4),Burning - Crop residues,1973,775.0499
World,Emissions (CO2eq) from CH4,Burning - Crop residues,1973,16276.0472
World,Emissions (CO2eq) from CH4,Burning - Crop residues,1974,16542.4523
World,Emissions (CH4),Burning - Crop residues,1974,787.7358
World,Emissions (CO2eq) from CH4,Rice Cultivation,1974,438153.1228
World,Emissions (CH4),Rice Cultivation,1974,20864.4344
World,Emissions (CO2eq) from CH4,Manure Management,1974,177104.2329
World,Emissions (CH4),Manure Management,1974,8433.5349
World,Emissions (CO2eq) from CH4,Enteric Fermentation,1974,1659273.389
World,Emissions (CH4),Enteric Fermentation,1974,79013.0185
World,Emissions (CO2eq) from CH4,Agriculture total,1974,2291073.197
World,Emissions (CH4),Agriculture total,1974,109098.7236
Canada,Emissions (CO2eq) from CH4,Burning - Crop residues,1974,236.2141
Canada,Emissions (CH4),Burning - Crop residues,1974,11.2483
Canada,Emissions (CO2eq) from CH4,Manure Management,1974,4042.4914
Canada,Emissions (CH4),Manure Management,1974,192.4996
Canada,Emissions (CO2eq) from CH4,Enteric Fermentation,1974,18703.2552
Canada,Emissions (CH4),Enteric Fermentation,1974,890.6312
Canada,Emissions (CO2eq) from CH4,Agriculture total,1974,22981.9606
Canada,Emissions (CH4),Agriculture total,1974,1094.3791
United States of America,Emissions (CO2eq) from CH4,Burning - Crop residues,1974,2143.5876
United States of America,Emissions (CH4),Burning - Crop residues,1974,102.0756
United States of America,Emissions (CO2eq) from CH4,Rice Cultivation,1974,7528.2007
United States of America,Emissions (CH4),Rice Cultivation,1974,358.4857
United States of America,Emissions (CO2eq) from CH4,Manure Management,1974,29186.5916
United States of America,Emissions (CH4),Manure Management,1974,1389.8377
United States of America,Emissions (CO2eq) from CH4,Enteric Fermentation,1974,166497.555
United States of America,Emissions (CH4),Enteric Fermentation,1974,7928.455
United States of America,Emissions (CO2eq) from CH4,Agriculture total,1974,205355.935
United States of America,Emissions (CH4),Agriculture total,1974,9778.854
United States of America,Emissions (CH4),Agriculture total,1975,9951.6562
United States of America,Emissions (CO2eq) from CH4,Agriculture total,1975,208984.7808
United States of America,Emissions (CH4),Enteric Fermentation,1975,8122.9585
United States of America,Emissions (CO2eq) from CH4,Enteric Fermentation,1975,170582.1288
United States of America,Emissions (CH4),Manure Management,1975,1323.0544
United States of America,Emissions (CO2eq) from CH4,Manure Management,1975,27784.1425
United States of America,Emissions (CH4),Rice Cultivation,1975,399.1358
United States of America,Emissions (CO2eq) from CH4,Rice Cultivation,1975,8381.8518
United States of America,Emissions (CH4),Burning - Crop residues,1975,106.5075
United States of America,Emissions (CO2eq) from CH4,Burning - Crop residues,1975,2236.6578
Canada,Emissions (CH4),Agriculture total,1975,1122.6697
Canada,Emissions (CO2eq) from CH4,Agriculture total,1975,23576.0643
Canada,Emissions (CH4),Enteric Fermentation,1975,929.2458
Canada,Emissions (CO2eq) from CH4,Enteric Fermentation,1975,19514.1618
Canada,Emissions (CH4),Manure Management,1975,181.4725
Canada,Emissions (CO2eq) from CH4,Manure Management,1975,3810.9235
Canada,Emissions (CH4),Burning - Crop residues,1975,11.9514
Canada,Emissions (CO2eq) from CH4,Burning - Crop residues,1975,250.9791
World,Emissions (CH4),Agriculture total,1975,111013.6256
World,Emissions (CO2eq) from CH4,Agriculture total,1975,2331286.137
World,Emissions (CH4),Enteric Fermentation,1975,80337.3937
World,Emissions (CO2eq) from CH4,Enteric Fermentation,1975,1687085.267
World,Emissions (CH4),Manure Management,1975,8397.6923
World,Emissions (CO2eq) from CH4,Manure Management,1975,176351.5385
World,Emissions (CH4),Rice Cultivation,1975,21473.9111
World,Emissions (CO2eq) from CH4,Rice Cultivation,1975,450952.1335
World,Emissions (CH4),Burning - Crop residues,1975,804.6285
World,Emissions (CO2eq) from CH4,Burning - Crop residues,1975,16897.1986
World,Emissions (CO2eq) from CH4,Burning - Crop residues,1976,17246.6322
